category,title,slug,source_url,tagline,players,difficulty,age,vibes,description,trailer_url,booking_url,gallery_image_count,gallery_image_urls,needs_review
VR Arcade,Angry Birds VR: Isle of Pigs,angry-birds-vr-isle-of-pigs,https://overworld.com.sg/experience/angry-birds-vr-isle-of-pigs/,Slingshot the iconic birds across pig fortresses in immersive 3D.,1,Easy,8+,Puzzle & Escape; Casual & Party,"Join Red, Chuck, Bomb & the Blues to save the stolen eggs in Angry Birds VR: Isle of Pigs, an immersive VR adventure! Discover the island where the greedy pigs vacation, slingshot your way to defeat Dr. Frankenswine & create/share/discover an infinite number of levels with the online level builder.",https://www.youtube.com/embed/ctq3lhtGCMQ?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/AngryBirdsVRQuest.webp; https://overworld.com.sg/wp-content/uploads/2026/04/angry-birds-vr-isle-of-pigs_ws9y-scaled.jpg,
VR Arcade,Archer,archer,https://overworld.com.sg/experience/archer/,Master the bow in fantasy co-op archery missions.,2-4,Medium,13+,Shooter; Adventure; Tower defense; Co-op,"Have you ever wanted to try yourself at archery? Have you ever dreamt of becoming a hero of the Middle Ages? In Archer, you are to fight hordes of orcs, goblins, and trolls attacking your fortress, and in the end - defeat the main boss! You can either fight off alone like a true hero or call your friends for help and shoot monsters together. Hurry! Grab a bow and defend your castle against uninvited guests!",https://www.youtube.com/embed/k-Yvc1vHEI0?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/Archer-1.webp; https://overworld.com.sg/wp-content/uploads/2026/04/Archer-VR-Gaming-Cypher-scaled-1.webp,
VR Arcade,Arizona Sunshine,arizona-sunshine,https://overworld.com.sg/experience/arizona-sunshine/,Fight your way through a zombie-ravaged American Southwest.,2-4,Hard,16+,Shooter; Zombie; Co-op,"Arizona Sunshine puts you and up to 3 fellow survivors in the midst of a zombie apocalypse. Survive solo or in co-op, handle weapons with real-life movements, and explore a post-apocalyptic world in VR. Putting the undead back to rest is more thrilling than ever before.",https://www.youtube.com/embed/jOnkrS3s3FE?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/06/arizona-sunshine-1-1.webp; https://overworld.com.sg/wp-content/uploads/2026/06/ss_baa449521f523bf58c271c4ee905e9a746cf3c83.600x338.jpg,
VR Arcade,Arizona Sunshine 2,arizona-sunshine-2,https://overworld.com.sg/experience/arizona-sunshine-2/,The undead are back - and this time you brought a dog.,1-4,Hard,16+,Shooter; Zombie; Co-op,"Welcome back to sun-kissed, zombified Arizona. It's time to say hello to your old pal, Fred. Arizona Sunshine(R) 2, the next-gen sequel to the fan-favorite VR apocalypse, packs even more goregeous zombie action! Narrated by the unmistakable quips of our dark-humored protagonist, Arizona Sunshine 2 sets you on an all-new limb-strewn adventure in search of answers. In a post-apocalyptic world where every bullet counts, experience the thrill of realistic combat as you wield all-new and fan-favorite weapons-from shotguns to machetes and flamethrowers.",https://www.youtube.com/embed/gbVVXLxWwJQ?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/AZS2_Screenshot_92-1024x576-1.png; https://overworld.com.sg/wp-content/uploads/2026/04/arizona-sunshine-2-review-screenshots_vw6a-scaled.png,
VR Arcade,Arvi Arena,arvi-arena,https://overworld.com.sg/experience/arvi-arena/,Tournament-grade arena combat for competitive squads.,2-8,Medium,10+,Shooter; PvP / Competitive,​ARVI Arena is a dynamic and immersive multiplayer shooter with sci-fi elements. The rich variety of maps and weapons will excite every fan of action games. Use teleport features and explore the area to get bonus items. Only the most skilled players will make it through the game and become the last survivor in the futuristic virtual battle!,https://www.youtube.com/embed/vxqb6nUcsqo?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/scr_10.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/maxresdefault-1.jpg,
VR Arcade,Battle Blocks,battle-blocks,https://overworld.com.sg/experience/battle-blocks/,Competitive block-stacking puzzle action for all ages.,1,Easy,10+,PvP / Competitive; Puzzle & Escape; Tactical,"Battle Blocks VR is not just about quick reflexes. It introduces a new layer of strategic gameplay, where every move you make can be used to attack or defend. Different cleanup types, such as single, double, triple, and quad, come with their own rewards and attack intensities, making every choice crucial.
Game Mechanics: The rules are simple, but the strategies are endless. Clear the layers and prevent your playground from overflowing. In multiplayer mode, use your cleared layers to launch attacks, aiming to overflow your opponent's playground. But remember, a well-timed defense can turn the tide, allowing you to parry incoming attacks and strike back with precision.
Designed with precision and a deep understanding of arcade owners' needs, Battle Blocks VR is not just a game; it's a strategic addition to elevate customer experience and engagement at your arcade.",https://www.youtube.com/embed/7WY6HsSB5Kc?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/6.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/1.jpg,
VR Arcade,Beat Saber,beat-saber,https://overworld.com.sg/experience/beat-saber/,"Slash, smash, and feel the rhythm.",1-5,Easy,8+,Rhythm & Music,"Beat Saber is an immersive rhythm experience you have never seen before! Enjoy tons of handcrafted levels and swing your way through the pulsing music beats, surrounded by a futuristic world.
Use your sabers to slash the beats as they come flying at you - every beat indicates which saber you need to use and the direction you need to match. With Beat Saber you become a dancing superhero!",https://www.youtube.com/embed/CqKj02Q-BNI?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/images-1.webp; https://overworld.com.sg/wp-content/uploads/2026/04/Beat-Saber-Ends-Support-on-PS4-and-Ps5.webp,
VR Arcade,Cook-Out,cook-out,https://overworld.com.sg/experience/cook-out/,Frantic co-op cooking chaos for crews who can take the heat.,1-4,Medium,13+,Casual & Party; Co-op,"Get your aprons ready... things are about to get messy in this award-winning multiplayer VR cooking game from Resolution Games! Set within the cook's cabin of a fairy-tale forest, Cook-Out: A Sandwich Tale is a wacky and whimsical adventure.",https://www.youtube.com/embed/Wwb5Cu8lNxE?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/cook-out-vr.webp; https://overworld.com.sg/wp-content/uploads/2026/04/cookout_screenshot_2.webp,
VR Arcade,Dick Wilde 2,dick-wilde-2,https://overworld.com.sg/experience/dick-wilde-2/,Blast swamp creatures with co-op shoot-em-up arcade chaos.,1-2,Easy,10+,Shooter; Co-op,The local lakes and ravines have been infected by a toxic outbreak! Pair up with your friends in co-op mode and take on the deadly ooze and its disgusting dwellers.,https://www.youtube.com/embed/BhR65-P9GHc?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/DuqnqmTUUAArqp8.webp; https://overworld.com.sg/wp-content/uploads/2026/04/1-1.jpg,
VR Arcade,Elven Assassin,elven-assassin,https://overworld.com.sg/experience/elven-assassin/,Defend the kingdom with bow and arrow against orc invaders.,1-4,Medium,10+,Adventure; Tower defense; Co-op,"TROLLS, ORCS, AND DRAGONS! Enter a land of fantasy where you play as an assassin defending your town against Trolls, Orcs, and Dragons who want nothing more than to destroy your town and everyone inside. You and up to 4 fellow assassins band together to save your small piece of paradise by shooting arrows and the occasional fireball, as well as catapulting rocks and cannonballs down upon those who dare attack you, but watch out these baddies aren't going to just let you slaughter them. Duck, dodge, and dash away all in the hopes of staying alive.",https://www.youtube.com/embed/ebmVGuF44E4?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/Elven-Assasin-compress-11-1.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/Elven-Assasin-compress-12-2.jpg,
